Argument values: path=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;only-body.sim;uneven-ground.sim, genformat=0, initialgenotype=None, opt=vertpos, popsize=100, generations=300, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\runs\2026-09-07_213255\gens\HoF-f0-8.gen, save_stats=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\stats, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=None
Using Framsticks version: 5.5
Home (writable) dir     : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data
Resources dir           : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'GenoConverters', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Basic tests OK. Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'only-body.sim', 'uneven-ground.sim']

Simulator.load: Loading from 'eval-allcriteria.sim'
Loader.load: Comments read from file follow:
Loader.load:  Sample settings for evaluating many criteria of performance of a Framsticks creature.
Loader.load:  See the "evalcount" parameter if you want to speed the evaluation up or have a more stable result.
Loader.load:  Other important parameters are "Energy0" and "perfperiod".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded genepool settings, 2 population settings, simulator settings from 'eval-allcriteria.sim'
Simulator.load: Loading from 'deterministic.sim'
Loader.load: Comments read from file follow:
Loader.load:  Parameter values that make the evaluation of a Framsticks creature deterministic.
Loader.load:  The values turn off random noise, so evaluation of the same genotype will always yield the same performance.
Loader.load:  The advantage is that you do not need to evaluate a genotype many times, and performance values are reliable.
Loader.load:  The disadvantage is that evolved creatures are "overfitting", i.e. rely entirely on the specific environment,
Loader.load:  and their behavior may be different in any other environment or (even slightly) changed conditions or parameter values,
Loader.load:  so each creature evolved using these settings must be later inspected using exactly the same setup.
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded simulator settings from 'deterministic.sim'
Simulator.load: Loading from 'sample-period-2.sim'
Loader.load: Comments read from file follow:
Loader.load:  Very low "performance sampling period" in the first population to sample performance very often during lifespan
Loader.load:  and avoid overlooking some behavior. Averaged performance of sampled values is returned as the final value.
Loader.load:  See http://www.framsticks.com/a/al_params.html#exper-perfcalc
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded population settings from 'sample-period-2.sim'
Simulator.load: Loading from 'only-body.sim'
Loader.load: Comments read from file follow:
Loader.load:  Turns off mutations in f0, f1, f4, fH related to brain (disables adding and modifying neurons)
Simulator.load: Loaded simulator settings from 'only-body.sim'
Simulator.load: Loading from 'uneven-ground.sim'
Loader.load: Comments read from file follow:
Loader.load:  Produces a microscopically uneven underlying heightfield, where the resting height ("vertpos") is sensitive to the shape of structures,
Loader.load:  because individual Parts settle at different elevations depending on the (world-centered) geometry of the structure.
Simulator.load: Loaded simulator settings from 'uneven-ground.sim'
gen	nevals	avg        	stddev     	min        	max        
0  	100   	-0.00966667	3.46945e-18	-0.00966667	-0.00966667
1  	89    	-0.00967   	0.000129056	-0.01      	-0.00933333
2  	88    	-0.00777741	0.0170234  	-0.01      	0.161593   
3  	95    	0.00735631 	0.0487762  	-0.00966667	0.229155   
4  	91    	0.0820291  	0.0896815  	-0.00966667	0.350689   
5  	94    	0.173455   	0.0952543  	-0.00933333	0.350689   
6  	89    	0.255811   	0.0993754  	-0.00933333	0.454263   
7  	84    	0.315412   	0.104247   	0.0504929  	0.527215   
8  	96    	0.331751   	0.133652   	-0.00933333	0.528189   
9  	90    	0.406377   	0.13463    	0.0450521  	0.638694   
10 	94    	0.4586     	0.163058   	0.0588235  	0.679873   
11 	90    	0.504249   	0.174685   	0.041789   	0.69055    
12 	93    	0.534832   	0.213554   	0.0106463  	0.828506   
13 	88    	0.580481   	0.217526   	0.0193727  	0.927611   
14 	91    	0.575219   	0.264243   	-0.00933333	0.927611   
15 	94    	0.686035   	0.286388   	0.0404078  	0.966499   
16 	90    	0.712973   	0.307007   	0.030524   	0.974101   
17 	96    	0.754715   	0.309205   	0.0552447  	0.98625    
18 	96    	0.690459   	0.357846   	0.029288   	1.00021    
19 	93    	0.713691   	0.37475    	0.0309008  	1.02448    
20 	92    	0.730742   	0.376549   	0.0309299  	1.02448    
21 	94    	0.71314    	0.398185   	0.0344624  	1.02622    
22 	93    	0.755924   	0.362074   	0.0350853  	1.04794    
23 	91    	0.741752   	0.388008   	0.0346416  	1.04794    
24 	93    	0.797669   	0.385594   	0.0353083  	1.05088    
25 	93    	0.694801   	0.414222   	0.0352504  	1.05124    
26 	91    	0.770371   	0.388841   	0.0353077  	1.05813    
27 	95    	0.694447   	0.422866   	0.035143   	1.05813    
28 	96    	0.747656   	0.414721   	0.0349867  	1.08618    
29 	92    	0.741396   	0.419546   	0.0528675  	1.08758    
30 	94    	0.771542   	0.408281   	0.0524723  	1.10061    
31 	91    	0.829998   	0.385602   	0.0568454  	1.11081    
32 	92    	0.736505   	0.439365   	0.0225502  	1.11081    
33 	93    	0.824268   	0.401457   	0.085578   	1.11142    
34 	87    	0.766831   	0.444867   	0.0225356  	1.1115     
35 	89    	0.805554   	0.431401   	0.0223344  	1.12207    
36 	91    	0.730053   	0.472326   	0.0223856  	1.12314    
37 	88    	0.827577   	0.430543   	0.028478   	1.12314    
38 	87    	0.848855   	0.422507   	0.028478   	1.12403    
39 	89    	0.842802   	0.408308   	0.028478   	1.12425    
40 	92    	0.775607   	0.454422   	0.0839541  	1.12425    
41 	95    	0.777374   	0.451839   	0.0870592  	1.16756    
42 	92    	0.767923   	0.460152   	0.0284928  	1.16756    
43 	91    	0.777711   	0.462191   	0.0283192  	1.16756    
44 	93    	0.76372    	0.494326   	0.0236139  	1.16978    
45 	95    	0.791613   	0.500768   	0.0236139  	1.16978    
46 	91    	0.808656   	0.470693   	0.053401   	1.16978    
47 	93    	0.839733   	0.471612   	0.0235821  	1.17146    
48 	90    	0.79787    	0.482511   	0.0755716  	1.17151    
49 	93    	0.804111   	0.481365   	0.0237782  	1.17157    
50 	97    	0.81249    	0.478324   	0.0236337  	1.17157    
51 	88    	0.757193   	0.500144   	0.0236242  	1.17157    
52 	92    	0.804208   	0.490851   	0.023605   	1.17157    
53 	93    	0.793183   	0.490188   	0.0236242  	1.17157    
54 	88    	0.839081   	0.469122   	0.0237445  	1.17176    
55 	92    	0.91576    	0.429932   	0.0238714  	1.17176    
56 	96    	0.672396   	0.501682   	0.0238714  	1.17176    
57 	93    	0.776763   	0.484833   	0.0236683  	1.17176    
58 	91    	0.806063   	0.477736   	0.0236683  	1.17182    
59 	88    	0.793799   	0.483284   	0.0234939  	1.17182    
60 	86    	0.828387   	0.473479   	0.0234939  	1.17182    
61 	91    	0.799161   	0.47921    	0.0234483  	1.17182    
62 	91    	0.81587    	0.479094   	0.0235785  	1.17186    
63 	96    	0.74227    	0.50165    	0.0235785  	1.17186    
64 	90    	0.78144    	0.491559   	0.0728269  	1.17186    
65 	93    	0.811673   	0.471501   	0.0235785  	1.17186    
66 	89    	0.69249    	0.502718   	0.0237728  	1.17186    
67 	91    	0.737662   	0.495378   	0.0237728  	1.17186    
68 	97    	0.704288   	0.506192   	0.0237729  	1.17186    
69 	92    	0.681571   	0.505433   	0.0235886  	1.17186    
70 	94    	0.802222   	0.488483   	0.0235905  	1.17188    
71 	92    	0.742791   	0.505323   	0.0237728  	1.17188    
