Argument values: path=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;only-body.sim;uneven-ground.sim, genformat=9, initialgenotype=None, opt=vertpos, popsize=100, generations=300, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\runs\2026-09-07_224747\gens\HoF-f9-1.gen, save_stats=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\stats, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=None
Using Framsticks version: 5.5
Home (writable) dir     : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data
Resources dir           : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'GenoConverters', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Basic tests OK. Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'only-body.sim', 'uneven-ground.sim']

Simulator.load: Loading from 'eval-allcriteria.sim'
Loader.load: Comments read from file follow:
Loader.load:  Sample settings for evaluating many criteria of performance of a Framsticks creature.
Loader.load:  See the "evalcount" parameter if you want to speed the evaluation up or have a more stable result.
Loader.load:  Other important parameters are "Energy0" and "perfperiod".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded genepool settings, 2 population settings, simulator settings from 'eval-allcriteria.sim'
Simulator.load: Loading from 'deterministic.sim'
Loader.load: Comments read from file follow:
Loader.load:  Parameter values that make the evaluation of a Framsticks creature deterministic.
Loader.load:  The values turn off random noise, so evaluation of the same genotype will always yield the same performance.
Loader.load:  The advantage is that you do not need to evaluate a genotype many times, and performance values are reliable.
Loader.load:  The disadvantage is that evolved creatures are "overfitting", i.e. rely entirely on the specific environment,
Loader.load:  and their behavior may be different in any other environment or (even slightly) changed conditions or parameter values,
Loader.load:  so each creature evolved using these settings must be later inspected using exactly the same setup.
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded simulator settings from 'deterministic.sim'
Simulator.load: Loading from 'sample-period-2.sim'
Loader.load: Comments read from file follow:
Loader.load:  Very low "performance sampling period" in the first population to sample performance very often during lifespan
Loader.load:  and avoid overlooking some behavior. Averaged performance of sampled values is returned as the final value.
Loader.load:  See http://www.framsticks.com/a/al_params.html#exper-perfcalc
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded population settings from 'sample-period-2.sim'
Simulator.load: Loading from 'only-body.sim'
Loader.load: Comments read from file follow:
Loader.load:  Turns off mutations in f0, f1, f4, fH related to brain (disables adding and modifying neurons)
Simulator.load: Loaded simulator settings from 'only-body.sim'
Simulator.load: Loading from 'uneven-ground.sim'
Loader.load: Comments read from file follow:
Loader.load:  Produces a microscopically uneven underlying heightfield, where the resting height ("vertpos") is sensitive to the shape of structures,
Loader.load:  because individual Parts settle at different elevations depending on the (world-centered) geometry of the structure.
Simulator.load: Loaded simulator settings from 'uneven-ground.sim'
gen	nevals	avg         	stddev    	min         	max         
0  	100   	-0.000966667	1.0842e-19	-0.000966667	-0.000966667
1  	91    	-0.000955333	1.57903e-05	-0.000966667	-0.000933333
2  	94    	0.00115991  	0.0208946  	-0.000966667	0.209058    
3  	93    	0.0334875   	0.0778435  	-0.000966667	0.276404    
4  	94    	0.079303    	0.10597    	-0.000933333	0.276404    
5  	87    	0.174843    	0.119824   	-0.000933333	0.463644    
6  	93    	0.177436    	0.158207   	-0.000933333	0.651121    
7  	95    	0.206451    	0.14375    	-0.0009     	0.651121    
8  	91    	0.235811    	0.153553   	-0.000933333	0.651121    
9  	92    	0.265667    	0.170583   	-0.0009     	0.651649    
10 	92    	0.25308     	0.1601     	-0.0009     	0.651649    
11 	89    	0.296991    	0.179721   	-0.0009     	0.753678    
12 	91    	0.275073    	0.210585   	-0.000866667	0.754108    
13 	89    	0.258731    	0.229564   	-0.0009     	0.754108    
14 	90    	0.308485    	0.244284   	-0.000866667	0.754108    
15 	89    	0.320579    	0.264465   	-0.0009     	0.754108    
16 	91    	0.311336    	0.251298   	-0.0009     	0.754108    
17 	89    	0.325108    	0.256948   	-0.0009     	0.758929    
18 	92    	0.36019     	0.268883   	-0.0009     	0.758929    
19 	94    	0.353695    	0.262397   	-0.0009     	0.758929    
20 	94    	0.33412     	0.233971   	-0.000866667	0.754108    
21 	95    	0.341935    	0.236564   	-0.0009     	0.758929    
22 	90    	0.359834    	0.237701   	-0.000866667	0.758929    
23 	94    	0.407722    	0.2325     	-0.000866667	0.758929    
24 	90    	0.412565    	0.2338     	-0.000866667	0.759035    
25 	85    	0.415914    	0.262533   	-0.000866667	0.758929    
26 	94    	0.415088    	0.237364   	-0.0009     	0.758876    
27 	92    	0.38716     	0.254045   	-0.000866667	0.758929    
28 	90    	0.435838    	0.245045   	-0.000866667	0.758929    
29 	94    	0.44495     	0.226978   	-0.000866667	0.758929    
30 	95    	0.40857     	0.230343   	-0.000866667	0.758929    
31 	93    	0.406337    	0.238968   	-0.000866667	0.759035    
32 	94    	0.432881    	0.220422   	-0.000866667	0.758929    
33 	92    	0.40905     	0.234863   	-0.000866667	0.758929    
34 	92    	0.412079    	0.233157   	-0.000866667	0.758929    
35 	95    	0.457851    	0.235266   	-0.000866667	0.759035    
36 	88    	0.458787    	0.239617   	-0.000866667	0.759035    
37 	91    	0.443401    	0.241539   	-0.000866667	0.759035    
38 	93    	0.447103    	0.23384    	-0.000866667	0.759035    
39 	91    	0.433428    	0.259601   	-0.0009     	0.759035    
40 	97    	0.419803    	0.227629   	-0.000866667	0.759035    
41 	91    	0.444186    	0.240606   	-0.000866667	0.759035    
42 	94    	0.431437    	0.232914   	-0.000866667	0.759035    
43 	95    	0.416995    	0.263249   	-0.0009     	0.759035    
44 	92    	0.327702    	0.243527   	-0.000866667	0.759035    
45 	93    	0.323182    	0.231114   	-0.000866667	0.759035    
46 	94    	0.356048    	0.241103   	-0.000866667	0.759035    
47 	92    	0.401039    	0.243554   	-0.000866667	0.758929    
48 	90    	0.405879    	0.258526   	-0.000866667	0.758929    
49 	93    	0.356912    	0.271312   	-0.000866667	0.759035    
50 	93    	0.392957    	0.24102    	-0.0009     	0.759035    
51 	91    	0.441933    	0.238352   	-0.000866667	0.759035    
52 	87    	0.419352    	0.256286   	-0.000866667	0.759035    
53 	93    	0.39755     	0.233005   	-0.000833333	0.759035    
54 	89    	0.442197    	0.261913   	-0.000866667	0.759035    
55 	93    	0.408045    	0.236797   	-0.000866667	0.759035    
56 	89    	0.445293    	0.250296   	-0.000866667	0.759035    
57 	94    	0.426304    	0.242386   	-0.000866667	0.759035    
58 	91    	0.410185    	0.26573    	-0.000866667	0.759035    
59 	91    	0.394167    	0.238432   	-0.000866667	0.759035    
60 	96    	0.376703    	0.252426   	-0.0009     	0.759035    
61 	92    	0.429446    	0.232055   	-0.000866667	0.759035    
62 	87    	0.388767    	0.278156   	-0.0009     	0.759035    
63 	95    	0.405355    	0.24755    	-0.000866667	0.759035    
64 	90    	0.435264    	0.233248   	-0.000866667	0.759035    
65 	87    	0.449442    	0.254033   	-0.000866667	0.759035    
66 	89    	0.472598    	0.235409   	-0.000866667	0.759035    
67 	92    	0.413122    	0.278115   	-0.000866667	0.759035    
68 	88    	0.439023    	0.232878   	-0.000866667	0.759035    
69 	88    	0.445076    	0.249754   	-0.000866667	0.759035    
70 	87    	0.436784    	0.259395   	-0.000866667	0.759035    
71 	95    	0.467002    	0.253417   	-0.000866667	0.759035    
