dir,filename,enc,param,experiment,hof_best,duration_s,total_nevals,n_generations
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f0-0,f0,,0,-0.009999997992502488,854.1034939289093,27752.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f0-1,f0,,1,-0.009999997992502488,876.721399307251,27740.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f0-2,f0,,2,-0.009999997992502488,859.6898472309113,27765.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f0-3,f0,,3,-0.009999997992502488,868.9644944667816,27653.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f0-4,f0,,4,-0.00999999805645396,867.8423347473145,27716.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f0-5,f0,,5,-0.009999997992502488,851.3240411281586,27706.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f0-6,f0,,6,-0.009999997992502488,864.5168645381927,27562.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f0-7,f0,,7,-0.009999997992502488,855.531715631485,27735.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f0-8,f0,,8,-0.009999997992502488,869.7051093578339,27684.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f0-9,f0,,9,-0.009999997992502488,876.3643343448639,27783.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f1-0,f1,,0,1.3429859390930863,1323.088074684143,27768.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f1-1,f1,,1,1.0429063887079228,1329.0336561203003,27732.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f1-2,f1,,2,2.1669561371243953,1202.9497196674347,27640.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f1-3,f1,,3,2.046998849248261,1227.965936422348,27780.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f1-4,f1,,4,2.0015195045232104,1352.6120216846466,27648.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f1-5,f1,,5,2.0845407611013314,1159.826741218567,27691.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f1-6,f1,,6,1.5400096606965605,1209.5157458782196,27700.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f1-7,f1,,7,1.4375899508025778,1138.7642314434052,27599.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f1-8,f1,,8,2.064527430673846,1221.1783392429352,27734.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f1-9,f1,,9,1.2992701727383857,1305.6493747234344,27723.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f4-0,f4,,0,1.5538002828569228,1787.6363117694855,27663.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f4-1,f4,,1,1.6198797927312762,1738.3984899520874,27678.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f4-2,f4,,2,1.778173951623105,1287.0399589538574,27726.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f4-3,f4,,3,1.5584020800165614,1329.170562028885,27665.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f4-4,f4,,4,1.5310798304843671,1691.7974107265472,27753.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f4-5,f4,,5,1.4796350210261524,1796.2581322193146,27718.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f4-6,f4,,6,1.3485223762786154,1686.7947595119476,27680.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f4-7,f4,,7,1.4299077432437293,1639.1964130401611,27723.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f4-8,f4,,8,1.366113323639523,1619.8965742588043,27671.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f4-9,f4,,9,1.4240841510178284,1589.1621799468994,27767.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f9-0,f9,,0,0.8685229738983516,1175.8764188289642,27648.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f9-1,f9,,1,1.026075088583445,1289.6346848011017,27657.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f9-2,f9,,2,0.964594088663543,1193.752221107483,27696.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f9-3,f9,,3,0.831954490535299,1227.9559547901154,27770.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f9-4,f9,,4,1.029103583879208,1210.1535272598267,27764.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f9-5,f9,,5,1.0724120390781509,1280.7931270599365,27730.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f9-6,f9,,6,0.9619692375444645,1165.7631108760834,27625.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f9-7,f9,,7,0.9625551442952163,1161.8050968647003,27671.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f9-8,f9,,8,0.8673122611509634,1191.6465911865234,27748.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos,HoF-f9-9,f9,,9,0.964594088663543,1148.4897119998932,27688.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f0-0,f0,,0,1.4529311226699997,1598.8484008312225,27690.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f0-1,f0,,1,1.4442221420009123,1146.740712404251,27698.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f0-2,f0,,2,1.7001331562764885,1238.1627266407013,27707.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f0-3,f0,,3,1.1059531760388928,1114.3462085723877,27774.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f0-4,f0,,4,1.204489782039705,1315.0755774974823,27635.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f0-5,f0,,5,2.2240671071028597,1386.4710988998413,27653.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f0-6,f0,,6,1.0828874370810262,1531.8258385658264,27661.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f0-7,f0,,7,1.5670450869833423,1185.976574897766,27750.0,301
