variant,count,cumcount
"('A', 'C', 'A', 'B', 'A')",62,141
"('A', 'C', 'A', 'B', 'A', 'O', 'B', 'E')",27,199
"('A', 'C', 'A', 'B', 'A', 'F', 'B', 'E', '?')",21,220
"('A', 'C', 'A', 'B', 'A', 'F', 'B', 'E')",20,240
"('A', 'C', 'A', 'B', 'A', 'O', 'B', 'E', '?')",15,272
"('A', 'C', 'A', 'B', 'A', 'I', 'B', 'E')",15,287
"('A', 'C', 'A', 'B', 'A', 'M', 'B', 'E')",11,298
"('A', 'C', 'A', 'B', 'A', 'I', 'B', 'E', '?')",10,308
"('A', 'C', 'A', 'B', 'A', 'Q', 'B', 'E')",9,317
"('A', 'C', 'A', 'B', 'A', 'B')",7,348
"('A', 'C', 'A', 'B', 'A', 'D', 'B', 'E')",7,355
"('A', 'C', 'A', 'B', 'A', 'D', 'B', 'E', '?')",7,369
"('A', 'C', 'A', 'B', 'A', 'G')",6,387
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'O', 'B', 'E')",6,393
"('A', 'C', 'A', 'B', 'A', 'G', 'F', 'B', 'E', '?')",5,398
"('A', 'C', 'A', 'B', 'A', 'M', 'B', 'E', '?')",5,403
"('A', 'C', 'A', 'B', 'A', 'G', 'F', 'B', 'E')",5,408
"('A', 'C', 'A', 'B', 'A', 'Q', 'B', 'E', '?')",5,413
"('A', 'C', 'A', 'B', 'A', 'G', 'I', 'B', 'E', '?')",4,432
"('A', 'C', 'A', 'B', 'A', 'G', 'O', 'B', 'E')",4,436
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'F', 'B', 'E')",4,440
"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'O', 'B', 'E', '?')",4,444
"('A', 'C', 'A', 'B', 'A', 'F', 'E')",4,448
"('A', 'C', 'A', 'B', 'A', 'I', 'E')",4,452
"('A', 'C', 'A', 'B', 'A', 'G', 'O', 'B', 'E', '?')",4,464
"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'F', 'B', 'E')",4,472
"('A', 'C', 'A', 'B', 'A', 'N', 'B', 'E', '?')",4,476
"('A', 'C', 'A', 'B', 'A', 'H', 'B', 'E', '?')",4,488
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'I', 'B', 'E')",4,492
"('A', 'C', 'A', 'B', 'A', 'S', 'B', 'E')",4,496
"('A', 'C', 'A', 'B', 'A', 'I', 'E', '?')",3,515
"('A', 'C', 'A', 'B', 'A', 'T', 'B', 'E')",3,524
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'O', 'B', 'E', '?')",3,527
"('A', 'C', 'A', 'B', 'A', 'R', 'B', 'O', 'B', 'E')",3,530
"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'I', 'B', 'E')",3,542
"('A', 'C', 'A', 'B', 'A', 'H', 'B', 'E')",3,548
"('A', 'C', 'A', 'B', 'A', 'K', 'B', 'M', 'B', 'E')",3,554
"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'F', 'B', 'E')",2,560
"('A', 'C', 'A', 'B', 'A', 'K', 'M', 'B', 'E')",2,562
"('A', 'C', 'A', 'B', 'A', 'U', 'M', 'B', 'E', '?')",2,568
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'H', 'B', 'E', '?')",2,570
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'I', 'B', 'E', '?')",2,572
"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'O', 'B', 'E')",2,578
"('A', 'C', 'A', 'B', 'A', 'F', 'E', '?')",2,592
"('A', 'C', 'A', 'B', 'A', 'O', 'F', 'B', 'E', '?')",2,600
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'D', 'B', 'E')",2,602
"('A', 'C', 'A', 'B', 'A', 'Q', 'B', 'F', 'B', 'E')",2,604
"('A', 'C', 'A', 'B', 'A', 'Q', 'B', 'I', 'B', 'E')",2,606
