,variant,count,cumcount
23,"('A', 'C', 'A', 'B', 'B')",46,46
1,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A')",42,88
20,"('A', 'C', 'A')",31,119
34,"('A', 'C', 'A', 'B', 'B', 'B')",21,140
75,"('A', 'C', 'A', 'A', 'A', 'B', 'B', 'B')",10,150
92,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'A')",9,159
137,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A')",9,168
115,"('A', 'C', 'B', 'B', 'A')",7,175
107,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'F', 'B', 'B', 'E', '?')",7,182
39,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'O', 'B', 'B', 'E')",7,189
28,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'O', 'B', 'B', 'B', 'B', 'E')",6,195
109,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'M', 'B', 'B', 'E')",5,200
33,"('A', 'C', 'A', 'B', 'B', 'B', 'A')",4,204
126,"('L', 'C', 'L')",4,208
261,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'F', 'E')",4,212
428,"('A', 'C', 'A', 'B', 'B', 'A', 'A')",4,216
65,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'I', 'B', 'B', 'E')",4,220
148,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'I', 'E')",4,224
154,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'O', 'B', 'B', 'B', 'B', 'E')",3,227
111,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'F', 'B', 'E', '?')",3,230
193,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'G')",3,233
344,"('L', 'C', 'L', 'B', 'B', 'B', 'L', 'L')",3,236
487,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'G', 'B', 'B', 'I', 'B', 'B', 'E')",3,239
125,"('L', 'C', 'B', 'B', 'B', 'L', 'L', 'L')",3,242
4,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'O', 'B', 'B', 'E', '?')",3,245
175,"('A', 'C', 'A', 'A', 'A', 'B', 'B', 'B', 'F', 'B', 'E')",2,247
260,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'G', 'O', 'B', 'B', 'E')",2,249
319,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'F', 'B', 'B', 'B', 'E')",2,251
143,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'I', 'B', 'E', '?')",2,253
723,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'F', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E', '?')",2,255
459,"('L', 'B', 'B', 'B', 'C', 'L', 'L')",2,257
2,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'I', 'E', '?')",2,259
265,"('L', 'C', 'L', 'L', 'B', 'B', 'B', 'L', 'M', 'E')",2,261
132,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'G')",2,263
334,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'B', 'B')",2,265
387,"('A', 'C', 'A', 'B', 'V', 'E')",2,267
343,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'G', 'B', 'B', 'O', 'B', 'B', 'E', '?')",2,269
538,"('L', 'C', 'L', 'B', 'B', 'M', 'E')",2,271
496,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'F', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E', '?')",2,273
101,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'O', 'A', 'B', 'B', 'E')",2,275
345,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'G', 'B', 'B', 'O', 'B', 'B', 'E')",2,277
523,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'M', 'B', 'B', 'B', 'B', 'E')",2,279
370,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'N', 'B', 'B', 'B', 'B', 'E', '?')",2,281
185,"('L', 'C', 'B', 'B', 'L')",2,283
340,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'F', 'B', 'B', 'B', 'E')",2,285
49,"('A', 'B', 'B', 'B', 'C', 'A', 'A', 'A', 'R', 'B', 'B', 'E')",2,287
181,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'F', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",2,289
356,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'I', 'B', 'B', 'B', 'B', 'E')",2,291
206,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'O', 'B', 'B', 'B', 'E', '?')",2,293
124,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'I', 'B', 'E')",2,295
302,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'F', 'B', 'E')",2,297
530,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'O', 'B', 'E')",2,299
31,"('A', 'C', 'A', 'A', 'A', 'B', 'B', 'B', 'Q', 'B', 'B', 'E')",2,301
665,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'F', 'B', 'B', 'B', 'B', 'E')",2,303
407,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'I', 'B', 'B', 'E', '?')",2,305
286,"('L', 'C', 'L', 'B', 'B', 'B')",2,307
402,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'O', 'B', 'B', 'B', 'B', 'E', '?')",2,309
37,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'F', 'B', 'B', 'E')",2,311
38,"('A', 'C', 'A', 'A', 'A', 'B', 'B', 'B', 'F', 'B', 'B', 'E', '?')",2,313
15,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'I', 'B', 'B', 'B', 'B', 'E', '?')",2,315
241,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'G', 'B', 'B', 'F', 'B', 'B', 'B', 'B', 'E')",2,317
484,"('A', 'B', 'B', 'B', 'C', 'A', 'A', 'A', 'B')",2,319
283,"('L', 'C', 'L', 'B', 'B', 'B', 'L', 'L', 'M', 'B', 'B', 'B', 'E')",2,321
391,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'F', 'B', 'B', 'E')",2,323
169,"('A', 'C', 'A', 'B', 'B', 'R', 'E')",2,325
112,"('A', 'C', 'A', 'B', 'B', 'B', 'V', 'E')",2,327
249,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'Q', 'B', 'B', 'B', 'B', 'B', 'E')",2,329
