,variant,count,cumcount
21,"('A', 'C', 'A', 'B')",79,79
1,"('A', 'C', 'A', 'B', 'A')",62,141
18,"('A', 'C', 'A')",31,172
26,"('A', 'C', 'A', 'B', 'A', 'O', 'B', 'E')",27,199
72,"('A', 'C', 'A', 'B', 'A', 'F', 'B', 'E', '?')",21,220
3,"('A', 'C', 'A', 'B', 'A', 'F', 'B', 'E')",20,240
78,"('A', 'C', 'B', 'A')",17,257
4,"('A', 'C', 'A', 'B', 'A', 'O', 'B', 'E', '?')",15,272
12,"('A', 'C', 'A', 'B', 'A', 'I', 'B', 'E')",15,287
92,"('A', 'C', 'A', 'B', 'A', 'M', 'B', 'E')",11,298
13,"('A', 'C', 'A', 'B', 'A', 'I', 'B', 'E', '?')",10,308
188,"('A', 'C', 'A', 'B', 'A', 'Q', 'B', 'E')",9,317
34,"('A', 'C', 'A', 'B', 'F', 'B', 'E', '?')",8,325
22,"('A', 'C', 'A', 'B', 'F', 'B', 'E')",8,333
95,"('A', 'C', 'A', 'B', 'O', 'B', 'E')",8,341
136,"('A', 'C', 'A', 'B', 'A', 'B')",7,348
235,"('A', 'C', 'A', 'B', 'A', 'D', 'B', 'E')",7,355
33,"('A', 'C', 'B', 'A', 'F', 'B', 'E')",7,362
27,"('A', 'C', 'A', 'B', 'A', 'D', 'B', 'E', '?')",7,369
66,"('L', 'C', 'L', 'B', 'L')",6,375
99,"('A', 'C', 'A', 'B', 'H', 'B', 'E')",6,381
79,"('A', 'C', 'A', 'B', 'A', 'G')",6,387
61,"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'O', 'B', 'E')",6,393
114,"('A', 'C', 'A', 'B', 'A', 'G', 'F', 'B', 'E', '?')",5,398
41,"('A', 'C', 'A', 'B', 'A', 'M', 'B', 'E', '?')",5,403
53,"('A', 'C', 'A', 'B', 'A', 'G', 'F', 'B', 'E')",5,408
55,"('A', 'C', 'A', 'B', 'A', 'Q', 'B', 'E', '?')",5,413
59,"('L', 'C', 'L', 'B', 'L', 'M', 'B', 'E')",5,418
288,"('A', 'C', 'B', 'A', 'F', 'B', 'E', '?')",5,423
104,"('L', 'C', 'B', 'L')",5,428
