period,demand,pv_prod,bought,sold,charge,discharge,soc
0,0.37115625,0.0,0.563142198526857,0.0,0.191985948526857,0.0,5.03181535367417
1,0.32515625,0.0,1.32515625,0.0,0.999999999999997,0.0,5.93080899060344
2,0.32465625,0.0,1.32465625,0.0,0.999999999999997,0.0,6.82962282880531
3,0.28165625,0.0,1.28165625,0.0,0.999999999999997,0.0,7.72825690423955
4,0.27665625,0.0,1.27665625,0.0,0.999999999999997,0.0,8.6267112528587
5,0.80495625,0.0,0.80495625,0.0,0.0,0.0,8.62498591060813
6,0.30415625,0.0,0.30415625,0.0,0.0,0.0,8.623260913426011
7,0.23445625,0.0,0.23445625,0.0,0.0,0.0,8.62153626124333
8,0.22885625,0.0,0.22885625,0.0,0.0,0.0,8.61981195399108
9,0.23915625,0.0,0.23915625,0.0,0.0,0.0,8.61808799160028
10,0.23765625,0.0,0.23765625,0.0,0.0,0.0,8.616364374001961
11,0.24045625,0.0,0.24045625,0.0,0.0,0.0,8.614641101127161
12,0.24095625,0.0,0.24095625,0.0,0.0,0.0,8.612918172906941
13,0.24265625,0.0,0.24265625,0.0,0.0,0.0,8.611195589272359
14,0.24095625,0.0,0.24095625,0.0,0.0,0.0,8.609473350154509
15,0.43395625,0.0,0.43395625,0.0,0.0,0.0,8.607751455484481
16,0.21215625,0.0,0.21215625,0.0,0.0,0.0,8.606029905193379
17,0.21045625,0.0,0.21045625,0.0,0.0,0.0,8.604308699212339
18,0.20115625,0.0,0.20115625,0.0,0.0,0.0,8.6025878374725
19,0.19315625,0.0,0.19315625,0.0,0.0,0.0,8.60086731990501
20,0.19215625,0.0,0.19215625,0.0,0.0,0.0,8.59914714644103
21,0.19265625,0.0,0.19265625,0.0,0.0,0.0,8.597427317011739
22,0.19185625,0.0,0.19185625,0.0,0.0,0.0,8.59570783154834
23,0.19335625,0.0,0.19335625,0.0,0.0,0.0,8.59398868998203
24,0.05245625,0.0,0.05245625,0.0,0.0,0.0,8.59226989224404
25,0.05635625,0.0,0.05635625,0.0,0.0,0.0,8.590551438265591
26,0.05965625,0.0,0.05965625,0.0,0.0,0.0,8.588833327977939
27,0.05565625,0.0,0.05565625,0.0,0.0,0.0,8.58711556131234
28,0.05685625,0.05685625,0.0,0.0,0.0,0.0,8.58539813820008
29,0.05635625,0.05635625,0.0,0.0,0.0,0.0,8.58368105857244
30,0.05665625,0.05665625,0.0,0.0,0.0,0.0,8.581964322360729
31,0.05345625,0.05345625,0.0,0.0,0.0,0.0,8.580247929496259
32,0.05735625,0.05735625,0.0,0.0,0.0,0.0,8.57853187991036
33,0.05445625,0.05445625,0.0,0.0,0.0,0.0,8.576816173534381
34,0.05615625,0.05615625,0.0,0.0,0.0,0.0,8.57510081029967
35,0.05545625,0.05545625,0.0,0.0,0.0,0.0,8.57338579013761
36,0.05635625,0.05635625,0.0,0.0,0.0,0.0,8.57167111297959
37,0.05415625,0.05415625,0.0,0.0,0.0,0.0,8.569956778756991
38,0.05215625,0.05215625,0.0,0.0,0.0,0.0,8.568242787401241
39,0.05115625,0.05115625,0.0,0.0,0.0,0.0,8.566529138843761
40,0.05195625,0.05195625,0.0,-0.0,0.0,0.0,8.564815833016
41,0.05665625,0.05665625,0.0,-0.0,0.0,0.0,8.56310286984939
42,0.05215625,0.05215625,0.0,-0.0,0.0,0.0,8.561390249275419
43,0.05735625,0.05735625,0.0,-0.0,0.0,0.0,8.55967797122557
44,0.05115625,0.05115625,0.0,-0.0,0.0,0.0,8.557966035631329
45,0.05295625,0.05295625,0.0,-0.0,0.0,0.0,8.5562544424242
46,0.05865625,0.05865625,0.0,-0.0,0.0,0.0,8.55454319153572
47,0.05345625,0.0,0.05345625,-0.0,0.0,0.0,8.552832282897411
48,0.05965625,0.0,0.05965625,-0.0,0.0,0.0,8.55112171644083
49,0.05865625,0.0,0.05865625,-0.0,0.0,0.0,8.549411492097549
50,0.05195625,0.0,0.05195625,-0.0,0.0,0.0,8.54770160979913
51,0.05345625,0.0,0.05345625,-0.0,0.0,0.0,8.545992069477171
52,0.05585625,0.0,0.05585625,-0.0,0.0,0.0,8.54428287106327
53,0.30565625,0.0,0.30565625,-0.0,0.0,0.0,8.542574014489061
54,0.35895625,0.0,0.35895625,-0.0,0.0,0.0,8.540865499686159
55,0.36745625,0.0,0.36745625,-0.0,0.0,0.0,8.53915732658623
56,0.37895625,0.37895625,0.0,0.0,0.0,0.0,8.53744949512091
57,0.34815625,0.34815625,0.0,0.0,0.0,0.0,8.53574200522189
58,0.35215625,0.35215625,0.0,0.0,0.0,0.0,8.534034856820851
59,0.32565625,0.32565625,0.0,0.0,0.0,0.0,8.532328049849481
60,0.10185625,0.10185625,0.0,0.0,0.0,0.0,8.53062158423951
61,0.10285625,0.10285625,0.0,0.0,0.0,0.0,8.52891545992267
62,0.10335625,0.10335625,0.0,0.0,0.0,0.0,8.52720967683068
63,0.10335625,0.10335625,0.0,0.0,0.0,0.0,8.525504234895321
64,0.10235625,0.10235625,0.0,0.0,0.0,0.0,8.523799134048341
65,0.09795624999999999,0.09795624999999999,0.0,0.0,0.0,0.0,8.522094374221529
66,0.09745624999999999,0.09745624999999999,0.0,0.0,0.0,0.0,8.52038995534669
67,0.09915625,0.09915625,0.0,0.0,0.0,0.0,8.518685877355621
68,0.10085625,0.0,0.10085625,0.0,0.0,0.0,8.516982140180151
69,0.09935625000000001,0.0,0.09935624999999999,0.0,0.0,0.0,8.51527874375212
70,0.08785625,0.0,0.08785625,0.0,0.0,0.0,8.513575688003369
71,0.08835625,0.0,0.08835625,0.0,0.0,0.0,8.51187297286577
72,0.08935625,0.0,0.08935625,0.0,0.0,0.0,8.5101705982712
73,0.08885625,0.0,0.08885625,0.0,0.0,0.0,8.50846856415154
74,0.08965624999999999,0.0,0.08965625000000001,0.0,0.0,0.0,8.50676687043871
75,0.04515625,0.0,0.04515625,0.0,0.0,0.0,8.505065517064629
76,0.04165625000000001,0.0,0.04165625,0.0,0.0,0.0,8.503364503961221
77,0.04415625,0.0,0.04415625,0.0,0.0,0.0,8.501663831060419
78,0.04385625,0.0,0.04385625,0.0,0.0,0.0,8.49996349829421
79,0.04415625,0.0,0.04415625,0.0,0.0,0.0,8.49826350559456
80,0.04385625,0.0,0.04385625,0.0,0.0,0.0,8.49656385289344
81,0.06065625,0.0,0.06065625,0.0,0.0,0.0,8.49486454012286
82,0.06245625,0.0,0.06245625,0.0,0.0,0.0,8.49316556721484
